Date,Open,High,Low,Close,Adj Close,Volume,MA4,MA8
2014-05-26,61.62,64.3,61.57,63.3,63.3,191430500,59.97749999999997,59.44374999999995
2014-06-02,63.23,64.36,62.05,62.5,62.5,194521000,61.29249999999996,59.939999999999955
2014-06-09,62.4,66.47,61.79,64.5,64.5,236346000,62.91249999999996,60.634999999999955
2014-06-16,64.16,65.75,63.35,64.5,64.5,175042000,63.69999999999997,61.483749999999965
2014-06-23,64.32,68.0,64.22,67.6,67.6,230378000,64.77499999999996,62.37624999999996
2014-06-30,67.46,68.44,65.76,66.29,66.29,127444000,65.72249999999997,63.507499999999965
2014-07-07,66.3,66.59,62.21,66.34,66.34,232737000,66.18249999999998,64.54749999999997
2014-07-14,67.13,68.46,66.04,68.42,68.42,192935800,67.16249999999998,65.43124999999996
2014-07-21,68.81,76.74,68.5,75.19,75.19,338457000,69.05999999999997,66.91749999999996
2014-07-28,75.17,75.5,71.55,72.36,72.36,207429000,70.57749999999997,68.14999999999996
2014-08-04,72.36,74.0,71.79,73.06,73.06,162092000,72.25749999999996,69.21999999999997
2014-08-11,73.46,74.65,72.22,73.63,73.63,142329600,73.55999999999996,70.36124999999997
2014-08-18,74.0,75.58,73.57,74.57,74.57,114569000,73.40499999999996,71.23249999999997
2014-08-25,74.94,75.99,73.73,74.82,74.82,128238000,74.01999999999995,72.29874999999998
2014-09-01,75.01,77.48,74.82,77.26,77.26,123520000,75.06999999999995,73.66374999999998
2014-09-08,77.26,78.36,76.2,77.48,77.48,145869800,76.03249999999996,74.79624999999999
2014-09-15,77.15,78.3,73.07,77.91,77.91,215816000,76.86749999999996,75.13624999999999
2014-09-22,77.0,78.94,75.95,78.79,78.79,165860000,77.85999999999997,75.93999999999998
2014-09-29,78.12,79.71,75.64,77.44,77.44,184848000,77.90499999999997,76.48749999999998
2014-10-06,77.19,77.95,72.76,72.91,72.91,168655000,76.76249999999996,76.39749999999998
2014-10-13,73.23,76.0,70.32,75.95,75.95,285636000,76.27249999999995,76.57
2014-10-20,75.6,80.82,75.38,80.67,80.67,176119000,76.74249999999995,77.30124999999998
2014-10-27,80.74,81.16,72.9,74.99,74.99,338315000,76.12999999999995,77.01749999999998
2014-11-03,75.47,76.8,73.65,75.6,75.6,158123000,76.80249999999995,76.78249999999998
2014-11-10,75.36,75.48,73.54,74.88,74.88,112752800,76.53499999999995,76.40374999999999
2014-11-17,74.88,75.66,72.51,73.75,73.75,117048200,74.80499999999995,75.77374999999999
2014-11-24,73.54,78.27,73.35,77.7,77.7,103041300,75.48249999999994,75.80625
2014-12-01,77.26,77.31,74.4,76.36,76.36,103922900,75.67249999999996,76.23750000000001
2014-12-08,76.18,78.88,74.78,77.83,77.83,144856700,76.40999999999995,76.47250000000001
2014-12-15,78.46,80.0,74.59,79.88,79.88,167712100,77.94249999999995,76.37375000000002
2014-12-22,80.08,82.17,80.0,80.78,80.78,69594500,78.71249999999996,77.09750000000001
2014-12-29,80.49,80.96,77.7,78.45,78.45,66618400,79.23499999999996,77.45375000000001
2015-01-05,77.98,79.25,75.36,77.74,77.74,121014800,79.21249999999996,77.81125000000002
2015-01-12,77.84,78.08,73.54,75.18,75.18,126213900,78.03749999999997,77.99000000000001
2015-01-19,75.72,78.19,74.82,77.83,77.83,84184300,77.29999999999995,78.00625000000001
2015-01-26,77.98,78.47,74.21,75.91,75.91,196620200,76.66499999999995,77.95
2015-02-02,76.11,76.35,73.75,74.47,74.47,125464000,75.84749999999994,77.53
2015-02-09,74.05,76.87,73.45,75.74,75.74,88739900,75.98749999999994,77.0125
2015-02-16,75.3,80.34,75.08,79.9,79.9,130463700,76.50499999999995,76.9025
2015-02-23,79.96,81.37,78.1,78.97,78.97,130481100,77.26999999999995,76.9675
2015-03-02,79.0,81.99,78.52,80.01,80.01,120738500,78.65499999999994,77.25125
2015-03-09,79.68,79.91,77.26,78.05,78.05,96858500,79.23249999999994,77.60999999999999
2015-03-16,77.96,84.6,77.36,83.8,83.8,164953600,80.20749999999995,78.35624999999997
2015-03-23,83.92,86.07,82.14,83.3,83.3,148537300,81.28999999999996,79.27999999999997
2015-03-30,83.81,84.34,80.87,81.56,81.56,85984300,81.67749999999997,80.16624999999996
2015-04-06,80.8,83.42,80.8,82.04,82.04,83953600,82.67499999999997,80.95374999999996
2015-04-13,81.93,83.94,80.37,80.78,80.78,106892900,81.91999999999997,81.06374999999996
2015-04-20,81.54,85.59,81.24,81.53,81.53,204905200,81.47749999999998,81.38374999999995
2015-04-27,81.87,82.93,78.11,78.99,78.99,128787000,80.83499999999998,81.25624999999995
2015-05-04,79.33,79.69,77.05,78.51,78.51,105359300,79.95249999999997,81.31374999999996
2015-05-11,78.48,81.85,76.79,80.42,80.42,138179600,79.86249999999998,80.89124999999996
2015-05-18,80.33,81.69,79.46,80.54,80.54,95596600,79.61499999999998,80.54624999999996
2015-05-25,80.43,81.07,78.88,79.19,79.19,58598800,79.66499999999998,80.24999999999997
2015-06-01,79.3,82.95,78.66,82.14,82.14,105824300,80.57249999999998,80.26249999999997
2015-06-08,81.82,82.9,79.32,81.53,81.53,85018900,80.84999999999998,80.35624999999997
2015-06-15,80.55,83.19,80.07,82.51,82.51,100984900,81.34249999999997,80.47874999999998
2015-06-22,83.41,89.4,83.31,88.01,88.01,186937800,83.54749999999997,81.60624999999997
2015-06-29,86.61,87.95,85.57,87.29,87.29,101143200,84.83499999999998,82.70374999999997
2015-07-06,86.49,88.22,85.23,87.95,87.95,128648400,86.43999999999997,83.64499999999998
2015-07-13,88.66,95.39,88.42,94.97,94.97,163296800,89.55499999999998,85.44874999999999
2015-07-20,95.85,99.24,94.81,96.95,96.95,185477000,91.78999999999998,87.66874999999999
2015-07-27,96.58,97.28,91.8,94.01,94.01,271190000,93.46999999999997,89.15249999999999
2015-08-03,93.53,98.74,92.8,94.3,94.3,144762700,95.05749999999998,90.74874999999999
2015-08-10,95.68,95.9,91.19,94.42,94.42,104547200,94.91999999999999,92.23749999999998
2015-08-17,94.42,96.1,85.61,86.06,86.06,171220500,92.19749999999999,91.99374999999998
